|seed |success|  nit  |  mu_check  |   mu_sum   |   G_norm   | step_norm  |
| 249 |True   |  365  |9.970795e-06|1.108979e-05|1.001557e-11|5.605423e-10|
| 254 |True   |  334  |9.822275e-06|1.165028e-05|4.340038e-11|1.441749e-05|
| 257 |True   |  368  |9.774938e-06|1.126471e-05|1.477231e-10|1.442548e-05|
| 255 |True   |  362  |9.803620e-06|1.068259e-05|7.133546e-12|8.609066e-10|
| 259 |True   |  339  |9.649893e-06|1.041907e-05|6.921688e-11|2.881820e-05|
| 261 |True   |  345  |9.863508e-06|1.138640e-05|2.245985e-10|3.218913e-05|
| 262 |True   |  345  |9.864905e-06|1.142595e-05|1.524945e-10|2.494862e-05|
| 260 |True   |  343  |9.971415e-06|1.074058e-05|8.448383e-11|3.215985e-05|
| 265 |True   |  328  |9.859135e-06|1.182464e-05|7.096850e-11|2.836463e-05|
| 266 |True   |  348  |9.898585e-06|1.066779e-05|5.316151e-11|2.038737e-05|
| 269 |True   |  332  |9.846617e-06|1.091839e-05|7.201179e-11|2.877387e-05|
| 264 |True   |  340  |9.674650e-06|1.120496e-05|1.089266e-10|2.879597e-05|
| 268 |True   |  341  |9.762407e-06|1.053160e-05|6.217019e-11|2.368836e-05|
| 263 |True   |  359  |9.828948e-06|1.124190e-05|9.554908e-10|2.494194e-05|
| 270 |True   |  337  |9.838765e-06|1.060799e-05|5.255255e-11|2.038640e-05|
| 271 |True   |  356  |9.761964e-06|1.149507e-05|1.093058e-11|4.887476e-10|
| 272 |True   |  334  |9.702213e-06|1.168004e-05|4.992104e-11|2.039162e-05|
| 273 |True   |  334  |9.988289e-06|1.075747e-05|7.692030e-11|2.818565e-05|
| 267 |True   |  344  |9.756471e-06|1.052569e-05|5.960552e-11|2.485431e-05|
| 274 |True   |  342  |9.874580e-06|1.064377e-05|5.390788e-11|2.040237e-05|
| 276 |True   |  341  |9.622046e-06|1.039124e-05|5.847849e-11|2.494006e-05|
| 278 |True   |  364  |9.684451e-06|1.066179e-05|4.253355e-12|4.798920e-09|
| 279 |True   |  351  |9.819047e-06|1.136308e-05|1.550180e-10|2.045983e-05|
| 280 |True   |  334  |9.834111e-06|1.060331e-05|6.403677e-11|2.521751e-05|
| 281 |True   |  367  |9.862703e-06|1.065532e-05|5.168474e-10|2.265676e-05|
| 258 |True   | 1324  |9.975084e-06|1.074430e-05|4.650200e-11|1.441990e-05|
