|seed |success|  nit  |  mu_check  |   mu_sum   |   G_norm   | step_norm  |
| 127 |True   |  474  |9.984063e-06|1.012211e-05|2.007718e-10|4.783459e-05|
| 129 |True   |  426  |9.986907e-06|1.003666e-05|6.061897e-12|3.622206e-05|
| 125 |True   |  622  |9.996148e-06|1.006250e-05|3.100176e-10|3.261529e-05|
| 62  |True   | 4153  |9.949396e-06|1.020385e-05|8.885133e-10|1.490094e-02|
| 128 |True   |  602  |9.983218e-06|1.007236e-05|2.162409e-10|2.883835e-05|
| 131 |True   |  458  |9.966224e-06|1.006174e-05|8.810932e-11|4.803502e-05|
| 132 |True   |  475  |9.967915e-06|1.006873e-05|2.616572e-10|3.532949e-05|
| 130 |True   |  617  |9.978244e-06|1.025376e-05|2.221340e-10|4.559099e-05|
| 133 |True   |  410  |9.995679e-06|1.004543e-05|5.426679e-12|3.225607e-05|
| 134 |True   |  470  |9.976414e-06|1.009403e-05|7.978576e-10|5.200102e-05|
| 135 |True   |  486  |9.928376e-06|1.003940e-05|3.414280e-10|4.824479e-05|
| 111 |True   | 1948  |9.978252e-06|1.015600e-05|7.341523e-10|5.415440e-03|
| 136 |True   |  481  |9.972933e-06|1.004025e-05|1.810689e-10|2.499957e-05|
| 138 |True   |  413  |9.971836e-06|1.002158e-05|4.830915e-12|3.060509e-05|
| 139 |True   |  441  |9.985786e-06|1.003652e-05|2.425035e-11|2.885027e-05|
| 140 |True   |  470  |9.966015e-06|1.002013e-05|2.015570e-10|3.734318e-05|
| 141 |True   |  411  |9.948383e-06|9.998128e-06|7.726168e-12|4.330589e-05|
| 142 |True   |  488  |9.913772e-06|1.020480e-05|3.309868e-10|3.618866e-05|
| 143 |True   |  467  |9.967419e-06|1.012065e-05|4.802997e-10|5.035173e-05|
| 144 |True   |  499  |9.939929e-06|1.008059e-05|5.056455e-10|5.101209e-05|
| 148 |True   |  481  |9.961242e-06|1.005255e-05|3.214400e-10|3.225559e-05|
